6CD1B0;WING SING ELECTRONICS HONG KONG LIMITED;
A4F522;CHOFU SEISAKUSHO CO.;
7CE56B;ESEN Optoelectronics Technology Co.;
CC4703;Intercon Systems Co.;
5C3327;Spazio Italia srl;
F85BC9;M-Cube Spa;
8005DF;Montage Technology Group Limited;
78E8B6;zte corporation;
041B94;Host Mobility AB;
CC2A80;Micro-Biz intelligence solutions Co.;
3859F8;MindMade Sp. z o.o.;
5C026A;Applied Vision Corporation;
7CBD06;AE REFUsol;
94BA56;Shenzhen Coship Electronics Co.;
2894AF;Samhwa Telecom;
740EDB;Optowiz Co.;
00A2FF;abatec group AG;
D095C7;Pantech Co.;
D02C45;littleBits Electronics;
5027C7;TECHNART Co.;
248000;Westcontrol AS;
F84A7F;Innometriks Inc;
58639A;TPL SYSTEMES;
0C9B13;Shanghai Magic Mobile Telecommunication Co.Ltd.;
3C15EA;TESCOM CO.;
B4CCE9;PROSYST;
34A3BF;Terewave. Inc.;
B0CE18;Zhejiang shenghui lighting co.;
503CC4;Lenovo Mobile Communication Technology Ltd.;
286D97;SAMJIN Co.;
ACE42E;SK hynix;
08EF3B;MCS Logic Inc.;
806C8B;KAESER KOMPRESSOREN AG;
048C03;ThinPAD Technology (Shenzhen)CO.;
84E629;Bluwan SA;
34CD6D;CommSky Technologies;
C47F51;Inventek Systems;
E8D4E0;Beijing BenyWave Technology Co.;
681D64;Sunwave Communications Co.;
F4CD90;Vispiron Rotec GmbH;
E438F2;Advantage Controls;
C8F386;Shenzhen Xiaoniao Technology Co.;
E8CE06;SkyHawke Technologies;
B0808C;Laser Light Engines;
C419EC;Qualisys AB;
981094;Shenzhen Vsun communication technology Co.;
082719;APS systems/electronic AG;
D4AC4E;BODi rS;
B03850;Nanjing CAS-ZDC IOT SYSTEM CO.;
C0DA74;Hangzhou Sunyard Technology Co.;
34A843;KYOCERA Display Corporation;
6C5779;Aclima;
40BD9E;Physio-Control;
581CBD;Affinegy;
F82BC8;Jiangsu Switter Co.;
60C397;2Wire Inc;
3065EC;Wistron (ChongQing);
5CA3EB;Lokel s.r.o.;
04DF69;Car Connectivity Consortium;
28DB81;Shanghai Guao Electronic Technology Co.;
9CB793;Creatcomm Technology Inc.;
A0B100;ShenZhen Cando Electronics Co.;
40560C;In Home Displays Ltd;
9436E0;Sichuan Bihong Broadcast &amp; Television New Technologies Co.;
D4D50D;Southwest Microwave;
B8CD93;Penetek;
D8FEE3;D-Link International;
F8516D;Denwa Technology Corp.;
1078CE;Hanvit SI;
D8DA52;APATOR S.A.;
107A86;U&U ENGINEERING INC.;
980D2E;HTC Corporation;
842F75;Innokas Group;
D4BF7F;UPVEL;
5061D6;Indu-Sol GmbH;
68EC62;YODO Technology Corp. Ltd.;
F07F0C;Leopold Kostal GmbH &Co. KG;
5C22C4;DAE EUN ELETRONICS CO.;
08482C;Raycore Taiwan Co.;
F4B381;WindowMaster A/S;
74F102;Beijing HCHCOM Technology Co.;
080EA8;Velex s.r.l.;
0086A0;Private;
60FE1E;China Palms Telecom.Ltd;
841E26;KERNEL-I Co.;
349D90;Heinzmann GmbH & CO. KG;
D4016D;TP-LINK TECHNOLOGIES CO.;
FC1186;Logic3 plc;
50CD32;NanJing Chaoran Science & Technology Co.;
683EEC;ERECA;
44619C;FONsystem co. ltd.;
BCBAE1;AREC Inc.;
18FA6F;ISC applied systems corp;
9C9726;Technicolor;
880905;MTMCommunications;
C42628;Airo Wireless;
745F00;Samsung Semiconductor Inc.;
541FD5;Advantage Electronics;
90FF79;Metro Ethernet Forum;
E08177;GreenBytes;
48F230;Ubizcore Co.;
B0C95B;Beijing Symtech CO.;
DCA989;MACANDC;
C05E6F;V. Stonkaus firma Kodinis Raktas;
6CD146;Smartek d.o.o.;
E0C2B7;Masimo Corporation;
F82EDB;RTW GmbH & Co. KG;
60A44C;ASUSTek COMPUTER INC.;
045FA7;Shenzhen Yichen Technology Development Co.;
983F9F;China SSJ (Suzhou) Network Technology Inc.;
F02329;SHOWA DENKI CO.;
6499A0;AG Elektronik AB;
A80180;IMAGO Technologies GmbH;
044CEF;Fujian Sanao Technology Co.;
DC1DD4;Microstep-MIS spol. s r.o.;
149448;BLU CASTLE S.A.;
40516C;Grandex International Corporation;
D0D471;MVTECH co.;
34ADE4;Shanghai Chint Power Systems Co.;
1853E0;Hanyang Digitech Co.Ltd;
C4E032;IEEE 1904.1 Working Group;
ACDBDA;Shenzhen Geniatech Inc;
A42C08;Masterwork Automodules;
60B185;ATH system;
504F94;Loxone Electronics GmbH;
8C078C;FLOW DATA INC;
8887DD;DarbeeVision Inc.;
807B1E;Corsair Components;
A0E25A;Amicus SK;
F87B62;FASTWEL INTERNATIONAL CO.;
B49842;zte corporation;
9C9C1D;Starkey Labs Inc.;
AC1702;Fibar Group sp. z o.o.;
7898FD;Q9 Networks Inc.;
3C57D5;FiveCo;
4C2258;cozybit;
10EA59;Cisco SPVTG;
34FA40;Guangzhou Robustel Technologies Co.;
181725;Cameo Communications;
E82E24;Out of the Fog Research LLC;
1C52D6;FLAT DISPLAY TECHNOLOGY CORPORATION;
40270B;Mobileeco Co.;
ACE97F;IoT Tech Limited;
301518;Ubiquitous Communication Co. ltd.;
101248;ITG;
106FEF;Ad-Sol Nissin Corp;
A036F0;Comprehensive Power;
180CAC;CANON INC.;
00DB1E;Albedo Telecom SL;
74943D;AgJunction;
080C0B;SysMik GmbH Dresden;
C8FB26;Cisco SPVTG;
7CC8AB;Acro Associates;
C4DA26;NOBLEX SA;
1CC316;MileSight Technology Co.;
C4E7BE;SCSpro Co.;
105F49;Cisco SPVTG;
4495FA;Qingdao Santong Digital Technology Co.Ltd;
60F2EF;VisionVera International Co.;
B01266;Futaba-Kikaku;
909DE0;Newland Design + Assoc. Inc.;
64D814;Cisco Systems;
6CE4CE;Villiger Security Solutions AG;
30F33A;+plugg srl;
58CF4B;Lufkin Industries;
C4393A;SMC Networks Inc;
D45C70;Wi-Fi Alliance;
08EBED;World Elite Technology Co.;
60BC4C;EWM Hightec Welding GmbH;
F41E26;Simon-Kaloi Engineering;
C44567;SAMBON PRECISON and ELECTRONICS;
D0738E;DONG OH PRECISION CO.;
E8718D;Elsys Equipamentos Eletronicos Ltda;
3C83B5;Advance Vision Electronics Co. Ltd.;
808287;ATCOM Technology Co.Ltd.;
28A192;GERP Solution;
A08C15;Gerhard D. Wempe KG;
8CE081;zte corporation;
485261;SOREEL;
10FBF0;KangSheng LTD.;
3C57BD;Kessler Crane Inc.;
600F77;SilverPlus;
6851B7;PowerCloud Systems;
A44E2D;Adaptive Wireless Solutions;
3CC12C;AES Corporation;
0CCDFB;EDIC Systems Inc.;
2CE2A8;DeviceDesign;
B49DB4;Axion Technologies Inc.;
D8182B;Conti Temic Microelectronic GmbH;
304449;PLATH GmbH;
94FD2E;Shanghai Uniscope Technologies Co.;
64A341;Wonderlan (Beijing) Technology Co.;
8CAE4C;Plugable Technologies;
D8D5B9;Rainforest Automation;
C0A0E2;Eden Innovations;
E8ABFA;Shenzhen Reecam Tech.Ltd.;
58874C;LITE-ON CLEAN ENERGY TECHNOLOGY CORP.;
E85BF0;Imaging Diagnostics;
20DC93;Cheetah Hi-Tech;
0CD9C1;Visteon Corporation;
68AB8A;RF IDeas;
70E24C;SAE IT-systems GmbH & Co. KG;
88615A;Siano Mobile Silicon Ltd.;
30215B;Shenzhen Ostar Display Electronic Co.;
DC028E;zte corporation;
DCB058;Bürkert Werke GmbH;
C8E1A7;Vertu Corporation Limited;
88D7BC;DEP Company;
F49466;CountMax;
4CAB33;KST technology;
5CE0F6;NIC.br- Nucleo de Informacao e Coordenacao do Ponto BR;
00E666;ARIMA Communications Corp.;
5887E2;Shenzhen Coship Electronics Co.;
B4DFFA;Litemax Electronics Inc.;
48F8B3;Cisco-Linksys;
681CA2;Rosewill Inc.;
7C092B;Bekey A/S;
D808F5;Arcadia Networks Co. Ltd. ;
84DF0C;NET2GRID BV;
3CB87A;Private;
E425E9;Color-Chip;
F44848;Amscreen Group Ltd;
441319;WKK TECHNOLOGY LTD.;
088F2C;Hills Sound Vision & Lighting;
3C9F81;Shenzhen CATIC Bit Communications Technology Co.;
18339D;Cisco Systems;
642216;Shandong Taixin Electronic co.;
D43D7E;Micro-Star Int'l Co;
64517E;LONG BEN (DONGGUAN) ELECTRONIC TECHNOLOGY CO.;
0C57EB;Mueller Systems;
48282F;zte corporation;
745327;COMMSEN CO.;
E47185;Securifi Ltd;
